Start: (5.42, -0.89), Iterations: 87.0, Height: 0.567170 
Start: (5.95, -0.89), Iterations: 25.0, Height: 1.854695 
Start: (6.47, -0.89), Iterations: 81.0, Height: 0.291594 
Start: (7.00, -0.89), Iterations: 100.0, Height: 0.291594 
Start: (-3.00, -0.37), Iterations: 81.0, Height: 0.567170 
Start: (-2.47, -0.37), Iterations: 21.0, Height: 2.081189 
Start: (-1.95, -0.37), Iterations: 65.0, Height: 3.000000 
Start: (-1.42, -0.37), Iterations: 85.0, Height: 2.069271 
Start: (-0.89, -0.37), Iterations: 93.0, Height: 1.646255 
Start: (-0.37, -0.37), Iterations: 25.0, Height: 3.000000 
Start: (0.16, -0.37), Iterations: 21.0, Height: 2.397101 
Start: (0.68, -0.37), Iterations: 93.0, Height: 2.397101 
Start: (1.21, -0.37), Iterations: 21.0, Height: 1.646255 
Start: (1.74, -0.37), Iterations: 7.0, Height: 0.567170 
Start: (2.26, -0.37), Iterations: 47.0, Height: 1.646255 
Start: (2.79, -0.37), Iterations: 13.0, Height: 2.464491 
Start: (3.32, -0.37), Iterations: 67.0, Height: 1.056492 
Start: (3.84, -0.37), Iterations: 85.0, Height: 1.056492 
Start: (4.37, -0.37), Iterations: 85.0, Height: 2.397101 
Start: (4.89, -0.37), Iterations: 81.0, Height: 2.275437 
Start: (5.42, -0.37), Iterations: 85.0, Height: 1.646255 
Start: (5.95, -0.37), Iterations: 13.0, Height: 1.207130 
Start: (6.47, -0.37), Iterations: 45.0, Height: 3.000000 
Start: (7.00, -0.37), Iterations: 47.0, Height: 1.207130 
Start: (-3.00, 0.16), Iterations: 73.0, Height: 1.056492 
Start: (-2.47, 0.16), Iterations: 47.0, Height: 2.081189 
Start: (-1.95, 0.16), Iterations: 85.0, Height: 0.196794 
Start: (-1.42, 0.16), Iterations: 41.0, Height: 2.289754 
Start: (-0.89, 0.16), Iterations: 53.0, Height: 2.397101 
Start: (-0.37, 0.16), Iterations: 53.0, Height: 1.646255 
